Temperature,Humidity,Pressure,WindSpeed,CloudCover,RainToday,RainTomorrow
25,60,1012,10,40,0,0
28,55,1010,12,35,0,0
30,50,1008,14,30,0,0
32,45,1005,15,25,0,0
35,40,1002,18,20,0,0
29,70,1009,11,60,1,1
27,85,1011,9,80,1,1
26,90,1013,8,90,1,1
28,80,1010,10,70,1,1
30,65,1008,12,50,0,0
27,75,1011,10,65,1,1
24,85,1014,7,85,1,1
23,88,1015,6,90,1,1
22,90,1016,5,95,1,1
21,92,1017,5,98,1,1
26,78,1010,9,70,1,1
29,68,1007,13,55,0,0
31,60,1005,15,45,0,0
33,55,1003,17,40,0,0
34,50,1001,18,35,0,0
36,45,999,20,30,0,0
28,82,1012,9,75,1,1
27,85,1013,8,80,1,1
26,88,1014,7,85,1,1
25,90,1015,6,90,1,1
24,92,1016,5,95,1,1
23,94,1017,4,98,1,1
22,96,1018,4,99,1,1
21,97,1019,3,100,1,1
20,98,1020,3,100,1,1
29,72,1009,11,65,1,0
31,65,1007,13,55,0,0
33,60,1005,15,50,0,0
35,55,1003,17,45,0,0
37,50,1001,19,40,0,0
39,45,999,21,35,0,0
30,75,1010,10,70,1,1
28,80,1012,9,75,1,1
27,85,1013,8,80,1,1
26,88,1014,7,85,1,1
25,90,1015,6,90,1,1
24,92,1016,5,95,1,1
23,94,1017,4,98,1,1
22,96,1018,4,99,1,1
21,97,1019,3,100,1,1
20,98,1020,3,100,1,1
32,58,1006,16,48,0,0
34,52,1004,18,42,0,0
36,48,1002,20,38,0,0
38,45,1000,22,35,0,0
40,42,998,24,30,0,0
28,78,1011,9,72,1,1
27,82,1012,8,76,1,1
26,85,1013,7,80,1,1
25,88,1014,6,85,1,1
24,90,1015,5,90,1,1
23,92,1016,4,95,1,1
22,94,1017,4,98,1,1
21,96,1018,3,99,1,1
20,97,1019,3,100,1,1
19,98,1020,2,100,1,1
31,66,1008,12,58,0,0
33,60,1006,14,52,0,0
35,55,1004,16,47,0,0
37,50,1002,18,42,0,0
39,45,1000,20,38,0,0
41,42,998,22,34,0,0
29,74,1010,10,68,1,0
28,78,1011,9,72,1,1
27,82,1012,8,76,1,1
26,85,1013,7,80,1,1
25,88,1014,6,85,1,1
24,90,1015,5,90,1,1
23,92,1016,4,95,1,1
22,94,1017,4,98,1,1
21,96,1018,3,99,1,1
20,97,1019,3,100,1,1
18,98,1021,2,100,1,1
17,99,1022,2,100,1,1
16,99,1023,1,100,1,1
15,100,1024,1,100,1,1
